Species,Formula,State,Tmax,CP_R,A,B,C,D,Enthalpy,Gibbs
Calcium hydroxide,Ca(OH)2,s,700.00,11.22,9.60,5.44,,,-986090,-898490
Calcium carbide,CaC2,s,720.00,7.51,8.25,1.43,,-1.04,-59800,-64900
Calcium chloride,CaCl2,s,1055.00,8.76,8.65,1.53,,-0.30,-795800,-748100
Graphite,C (graphite),s,2000.00,1.03,1.77,0.77,,-0.87,,
Copper,Cu,s,1357.00,2.96,2.68,0.82,,0.04,0.00,0.00
Copper oxide (ii),CuO,s,1400.00,5.09,5.78,0.97,,-0.87,,
Iron (alpha),Fe(α),s,1043.00,3.01,-0.11,6.11,,1.15,0.00,0.00
Iron oxide (hematite),Fe2O3,s,960.00,12.48,11.81,9.70,,-1.98,-824200,-742200
Iron oxide (magnetite),Fe3O4,s,850.00,18.14,9.59,27.11,,0.41,-1118400,-1015400
Iron sulfide,FeS,s,411.00,6.57,2.61,13.29,,,-178200,-166900
Iodine,I2,s,386.80,6.93,6.48,1.50,,,0.00,0.00
Lithium chloride,LiCl,s,800.00,5.78,5.26,2.48,,-0.19,-408610,
Ammonium chloride,NH4Cl,s,458.00,10.74,5.94,16.11,,,,
Sodium,Na,s,371.00,3.39,1.99,4.69,,,0.00,0.00
Sodium chloride,NaCl,s,1073.00,6.11,5.53,1.96,,,-411153,-384138
Sodium hydroxide,NaOH,s,566.00,7.18,0.12,16.32,,1.95,-425609,-379494
Sodium bicarbonate,NaHCO3,s,400.00,10.54,5.13,18.15,,,,
Sulfur (rhombic),S (rhombic),s,368.30,3.75,4.11,-1.73,,-0.78,0.00,0.00
Silicon dioxide,SiO2 (quartz),s,847.00,5.35,4.87,5.37,,-1.00,,
Ammonia,NH3,l,9.72,22.63,-100.75,192.71,,,,
Aniline,C6H5NH2,l,23.07,15.82,29.03,-15.80,,,,
Benzene,C6H6,l,16.16,-0.75,67.96,-37.78,,,49080.00,124520.00
"1,3-Butadiene",C4H4,l,14.78,22.71,-87.96,205.79,,,,
Carbon tetrachloride,CCl4,l,15.75,21.16,-48.28,101.14,,,,
Chlorobenzene,C6H5Cl,l,18.24,11.28,32.86,-31.90,,,,
Chloroform,CHCl3,l,13.81,19.22,-42.89,83.01,,,,
Cyclohexane,C6H12,l,18.74,-9.05,141.38,-161.62,,,-156230.00,26850.00
Ethanol,C2H5OH,l,13.44,33.87,-172.60,349.17,,,-277690.00,-174780.00
Ethylene oxide,C2H4O,l,10.59,21.04,-86.41,172.28,,,,
Methanol,CH3OH,l,9.80,13.43,-51.28,131.13,,,-238660.00,-166270.00
n-Propanol,C3H8,l,16.92,41.65,-210.32,427.20,,,,
Sulfur trioxide,SO3,l,30.41,-2.93,137.08,-84.73,,,,
Toluene,C7H8,l,18.61,15.13,6.79,16.35,,,12180.00,113630.00
Water,H2O,l,9.07,8.71,1.25,-0.18,,,-285830,-237129

